UserID,CommentDate Year,CommentDate Month,CommentDate Day_of_week
ID_MVIB05DL,3,1,7
ID_MVIB05DL,3,1,7
ID_KBRFRAR9,3,1,7
ID_UDS6FRR8,3,1,7
ID_UDS6FRR8,3,1,7
ID_UDS6FRR8,3,1,7
ID_UDS6FRR8,3,1,7
ID_M8Z5T722,3,1,7
ID_MVIB05DL,3,2,2
ID_MVIB05DL,3,2,2
ID_MVIB05DL,2,11,6
ID_MVIB05DL,2,11,5
ID_MVIB05DL,2,11,6
ID_LORVM90M,2,11,5
ID_8X0LVG1S,2,11,6
ID_8X0LVG1S,2,11,6
ID_8X0LVG1S,2,11,5
ID_8X0LVG1S,2,11,6
ID_8X0LVG1S,2,11,6
ID_HPGBK1R2,2,11,5
ID_RQKWAFL7,2,11,6
ID_5UNFXAR4,2,11,6
ID_5UNFXAR4,2,11,6
ID_MVIB05DL,2,11,6
ID_M9GQJMP3,2,11,6
ID_8X0LVG1S,2,11,6
ID_O75AOEBA,2,11,6
ID_YXGIV5I8,2,11,6
ID_MVIB05DL,2,12,4
ID_KBRFRAR9,2,12,3
ID_SV6UQQIG,2,12,4
ID_IENFBO1G,2,12,4
ID_IFX9BCXJ,2,12,6
ID_5UNFXAR4,2,12,7
ID_IYITMWMC,2,12,4
ID_XEQNHHJC,2,12,4
ID_9B51B9V1,2,12,4
ID_526JBB7F,2,12,4
ID_0AXBAAKK,2,12,5
ID_MVIB05DL,2,11,6
ID_8X0LVG1S,2,11,6
ID_8X0LVG1S,2,11,6
ID_1OOXSUUG,2,11,6
ID_MVIB05DL,2,11,7
ID_MVIB05DL,2,11,7
ID_1OOXSUUG,2,11,7
ID_1OOXSUUG,2,11,7
ID_EUSJ9ZQS,2,11,7
ID_N6C2FKG9,2,11,7
ID_RQKWAFL7,2,11,7
ID_MVIB05DL,3,4,5
ID_RP8VQ1AA,3,4,1
ID_RP8VQ1AA,3,4,6
ID_RP8VQ1AA,3,4,1
ID_S33SXF0D,3,4,5
ID_8OI9UUB3,3,4,5
ID_8OI9UUB3,3,4,6
ID_8OI9UUB3,3,4,1
ID_8OI9UUB3,3,4,1
ID_OO9NRDUE,3,4,1
ID_OO9NRDUE,3,4,1
ID_MVIB05DL,2,11,7
ID_PHTHJQ9Y,2,11,2
ID_QNKUW31U,2,11,7
ID_L2UG463K,2,11,2
ID_MVIB05DL,2,11,1
ID_8X0LVG1S,2,11,1
ID_54C5H9BS,2,11,1
ID_MVIB05DL,2,7,5
ID_MVIB05DL,2,9,2
ID_8X0LVG1S,2,7,5
ID_Q0TSR0KE,2,7,7
ID_9NS6SZ8F,2,7,5
ID_H758ISBE,2,9,2
ID_H758ISBE,2,9,2
ID_MVIB05DL,2,8,3
ID_A7LIEGWW,2,10,1
ID_MVIB05DL,3,3,3
ID_MVIB05DL,2,12,7
ID_MVIB05DL,2,12,7
ID_PHTHJQ9Y,2,12,7
ID_8X0LVG1S,2,12,7
ID_57CBC4OI,2,12,7
ID_1OOXSUUG,2,12,7
ID_KYK7OA4O,2,12,1
ID_RQKWAFL7,2,12,7
ID_LGOY049J,2,12,7
ID_4JY004UM,2,12,7
ID_9W8RPVR4,2,12,1
ID_9W8RPVR4,2,12,1
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,1
ID_SKQO8CEF,2,12,1
ID_SKQO8CEF,2,12,1
ID_SKQO8CEF,2,12,1
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,7
ID_SKQO8CEF,2,12,1
ID_GMF79HR1,2,12,7
ID_1YOOA1Q8,2,12,7
ID_1YOOA1Q8,2,12,7
ID_ZLNYERV6,2,12,3
ID_ZLNYERV6,2,12,1
ID_ZLNYERV6,2,12,1
ID_35X1D3TU,2,12,7
ID_IZ81Y1UW,2,12,7
ID_403X7VLC,2,12,7
ID_403X7VLC,2,12,1
ID_WCLLEXEV,2,12,7
ID_MVIB05DL,2,12,7
ID_MVIB05DL,2,12,7
ID_Z415RXLL,2,12,7
ID_PPOJTBH4,2,12,7
ID_NVMBA446,2,12,7
ID_NVMBA446,2,12,7
ID_1GU0INEA,2,12,2
ID_764N1CDA,2,12,7
ID_764N1CDA,2,12,7
ID_S2YKFWD3,2,12,7
ID_S2YKFWD3,2,12,3
ID_ZPQOHJV1,2,12,7
ID_MVIB05DL,2,11,7
ID_MVIB05DL,2,11,7
ID_8X0LVG1S,2,11,7
ID_1OOXSUUG,2,11,7
ID_1OOXSUUG,2,11,7
ID_RQKWAFL7,2,11,7
ID_MVIB05DL,2,9,1
ID_29FH6HS1,2,9,7
ID_A7LIEGWW,2,9,2
ID_6L3A64FZ,2,9,7
ID_WYFCTSF5,2,9,7
ID_9DDAKT3I,2,9,1
ID_MVIB05DL,2,11,1
ID_MVIB05DL,2,12,7
ID_1OOXSUUG,2,11,2
ID_1OOXSUUG,2,11,2
ID_CQ6Q59U0,2,11,2
ID_4S9JJCZA,2,11,2
ID_75UCV9KN,2,12,5
ID_N6C2FKG9,2,11,1
ID_TPNT3JES,2,11,1
ID_5UNFXAR4,2,11,1
ID_1BGVSHN2,2,12,6
ID_MVIB05DL,2,1,4
ID_MVIB05DL,2,1,4
ID_PBTIHYO2,2,1,4
ID_MVIB05DL,2,11,2
ID_XGHA96QN,2,11,2
ID_1OOXSUUG,2,11,2
ID_RQKWAFL7,2,11,2
ID_RQKWAFL7,2,11,2
ID_MVIB05DL,3,1,6
ID_4JY004UM,3,1,6
ID_L2UG463K,3,1,7
ID_4H6GFHIO,3,1,6
ID_MVIB05DL,3,10,4
ID_X43R1C05,3,10,3
ID_GKYN7CVM,3,10,5
ID_TNTXL6HG,3,10,1
ID_MVIB05DL,2,11,2
ID_MVIB05DL,2,11,2
ID_KYK7OA4O,2,12,3
ID_N6C2FKG9,2,11,2
ID_N6C2FKG9,2,11,2
ID_N6C2FKG9,2,11,2
ID_N6C2FKG9,2,11,2
ID_RQKWAFL7,2,11,2
ID_5UNFXAR4,2,11,2
ID_5UNFXAR4,2,12,4
ID_MVIB05DL,3,1,3
ID_MVIB05DL,3,1,3
ID_M9RCGFGS,3,1,3
ID_MVIB05DL,3,3,7
ID_MVIB05DL,3,3,7
ID_LCBXXPF0,3,3,3
ID_093UA6Q9,3,3,7
ID_YIAGXEKM,3,3,3
ID_9XNB5VAP,3,3,7
ID_9NGB32LA,3,3,1
ID_MVIB05DL,2,1,5
ID_OZTCVTQP,2,1,5
ID_OZTCVTQP,2,1,5
ID_55VNJ2JY,2,1,1
ID_I0UM9FFS,2,2,3
ID_86YUC74R,2,2,4
ID_GCO32QR9,2,1,5
ID_2QFSXRJ2,2,1,5
ID_MVIB05DL,3,12,1
ID_KBRFRAR9,3,12,1
ID_LORVM90M,3,12,1
ID_PZC3117C,3,12,3
ID_57CBC4OI,3,12,1
ID_6M6TBDO5,3,12,1
ID_L2UG463K,3,12,1
ID_OO9NRDUE,3,12,3
ID_OO9NRDUE,3,12,1
ID_ZXK34QTN,3,12,3
ID_ZXK34QTN,3,12,1
ID_ZXK34QTN,3,12,1
ID_ZXK34QTN,3,12,3
ID_FVZRE1GV,3,12,3
ID_FVZRE1GV,3,12,3
ID_UOKBO61E,3,12,1
ID_MVIB05DL,3,7,6
ID_B45AQET9,3,7,7
ID_VEKZZ82Z,3,8,5
ID_MVIB05DL,3,7,6
ID_SPHJYXNP,3,7,1
ID_MVIB05DL,3,7,6
ID_MVIB05DL,3,7,6
ID_HJRZ3JJG,3,7,2
ID_GBJ13CVC,3,10,3
ID_MVIB05DL,3,3,5
ID_5PCGT3C0,3,3,5
ID_MVIB05DL,2,12,2
ID_1OOXSUUG,2,12,2
ID_6P5FNQDM,2,12,3
ID_F6OWB78W,2,12,2
ID_UVQDGXOT,2,12,2
ID_MVIB05DL,3,8,4
ID_MVIB05DL,3,8,7
ID_MVIB05DL,3,8,4
ID_MVIB05DL,3,8,4
ID_MVIB05DL,3,8,4
ID_OW9II5PT,3,8,4
ID_OW9II5PT,3,8,4
ID_OW9II5PT,3,8,7
ID_OW9II5PT,3,8,4
ID_OW9II5PT,3,8,4
ID_OW9II5PT,3,11,6
ID_MVIB05DL,2,11,6
ID_MVIB05DL,2,11,6
ID_XGHA96QN,2,11,7
ID_B0QKGVBZ,2,11,6
ID_B0QKGVBZ,2,11,6
ID_MVIB05DL,2,11,5
ID_PHTHJQ9Y,2,11,5
ID_FHL22JIB,2,11,4
ID_MVIB05DL,2,11,6
ID_KBRFRAR9,2,11,5
ID_KBRFRAR9,2,11,6
ID_KBRFRAR9,2,11,6
ID_KBRFRAR9,2,11,1
ID_1OOXSUUG,2,11,3
ID_LQF775GC,2,11,2
ID_Q7GMORTC,2,11,2
ID_Q7GMORTC,2,11,2
ID_9QBNLWG0,2,11,3
ID_9QBNLWG0,2,11,3
ID_HDZ8SJYU,2,11,2
ID_ADF66NCS,2,11,2
ID_DIWELQV9,2,11,3
ID_MVIB05DL,3,8,7
ID_4RX8DUUM,3,8,2
ID_MVIB05DL,3,9,3
ID_MVIB05DL,3,9,3
ID_VVL5LLRG,3,9,3
ID_VVL5LLRG,3,9,3
ID_MVIB05DL,3,11,2
ID_MVIB05DL,3,11,1
ID_K1N3CBLW,3,11,2
ID_K1N3CBLW,3,11,1
ID_MVIB05DL,3,10,1
ID_MVIB05DL,3,10,2
ID_UKCRHPVW,3,10,1
ID_UKCRHPVW,3,10,2
ID_UKCRHPVW,3,10,3
ID_MVIB05DL,3,10,2
ID_VC0PF33W,3,10,1
ID_VEPEUU1E,3,10,1
ID_VEPEUU1E,3,10,2
ID_VEPEUU1E,3,10,2
ID_VEPEUU1E,3,10,5
ID_VEPEUU1E,3,10,2
ID_LQ15ON0Q,3,10,2
ID_3UM2SET3,3,10,5
ID_3UM2SET3,3,10,5
ID_3UM2SET3,3,10,5
ID_1A1LMISL,3,10,4
ID_EW9VK41I,3,10,2
ID_MVIB05DL,3,7,6
ID_KBRFRAR9,3,7,4
ID_TWVL6XJ3,3,7,5
ID_TWVL6XJ3,3,7,7
ID_MVIB05DL,3,10,1
ID_UKCRHPVW,3,10,1
ID_O9IJZ1K0,3,10,4
ID_MVIB05DL,3,9,2
ID_PHTHJQ9Y,3,9,4
ID_PHTHJQ9Y,3,9,4
ID_PHTHJQ9Y,3,9,4
ID_KYKBB4R0,3,9,2
ID_57CBC4OI,3,9,2
ID_1OOXSUUG,3,9,3
ID_MAMGFNLF,3,9,2
ID_R58VRPP8,3,9,2
ID_F24G1KNY,3,9,3
ID_GKYN7CVM,3,9,2
ID_MVIB05DL,3,11,4
ID_KIL7Y1OQ,3,11,4
ID_MVIB05DL,3,9,3
ID_MVIB05DL,3,10,7
ID_RQKWAFL7,3,9,3
ID_RQKWAFL7,3,10,7
ID_MVIB05DL,3,10,1
ID_MVIB05DL,3,10,1
ID_MVIB05DL,3,10,1
ID_MVIB05DL,3,10,1
ID_VEPEUU1E,3,10,1
ID_RQKWAFL7,3,10,1
ID_RQKWAFL7,3,10,1
ID_RQKWAFL7,3,10,1
ID_MVIB05DL,3,10,1
ID_KBRFRAR9,3,10,3
ID_RQKWAFL7,3,10,1
ID_DW95GDGF,3,10,1
ID_MVIB05DL,3,12,3
ID_MVIB05DL,3,12,3
ID_MVIB05DL,3,12,3
ID_MVIB05DL,3,12,6
ID_MVIB05DL,3,12,3
ID_LGOY049J,3,12,3
ID_LGOY049J,3,12,3
ID_LGOY049J,3,12,7
ID_LGOY049J,3,12,3
ID_MVIB05DL,3,12,7
ID_UKCRHPVW,3,12,7
ID_XOKY0J34,3,12,7
ID_B0QKGVBZ,3,12,7
ID_K1N3CBLW,3,12,7
ID_1A1LMISL,3,12,3
ID_MVIB05DL,2,1,4
ID_JQJGZA7V,2,1,3
ID_T3AS9ABP,2,1,4
ID_I0UM9FFS,2,2,3
ID_WKR7N2GM,2,2,4
ID_MVIB05DL,2,1,5
ID_8R75LLK4,2,1,6
ID_8R75LLK4,2,1,6
ID_MVIB05DL,2,6,3
ID_PZC3117C,2,6,3
ID_PZC3117C,2,6,3
ID_U1Q22OF8,2,6,3
ID_BPDHOFFZ,2,6,3
ID_MVIB05DL,2,11,4
ID_LORVM90M,2,11,4
ID_HD4C3MI8,2,11,4
ID_4DSDKPOY,2,11,4
ID_CIL68O2A,2,11,5
ID_MVIB05DL,2,11,5
ID_B0QKGVBZ,2,11,5
ID_CC0PN184,2,11,5
ID_QORKL6MV,2,11,5
ID_CIL68O2A,2,11,5
ID_XJ03MFM5,2,11,5
ID_XJ03MFM5,2,11,6
ID_CFUZMI8V,2,11,5
ID_MVIB05DL,3,2,2
ID_WCWFREGK,3,2,2
ID_MVIB05DL,3,2,2
ID_6L3A64FZ,3,2,2
ID_MVIB05DL,2,11,6
ID_5H54QN5B,2,11,6
ID_MVIB05DL,2,11,6
ID_MVIB05DL,2,11,6
ID_MVIB05DL,2,11,7
ID_MVIB05DL,2,11,7
ID_8X0LVG1S,2,11,6
ID_46H16SYI,2,11,7
ID_46H16SYI,2,11,7
ID_5EJ6QS1F,2,11,6
ID_MVIB05DL,2,12,7
ID_15WIQMGZ,2,12,7
ID_USXQTSWR,2,12,7
ID_PPOJTBH4,2,12,7
ID_4I8WWFYO,2,12,2
ID_4I8WWFYO,2,12,7
ID_MVIB05DL,3,2,1
ID_KYK7OA4O,3,2,7
ID_KYK7OA4O,3,2,7
ID_KYK7OA4O,3,2,7
ID_KYK7OA4O,3,2,1
ID_MVIB05DL,3,3,6
ID_AE3MHHIF,3,3,3
ID_MVIB05DL,3,6,1
ID_GLBNPXA2,3,6,5
ID_MVIB05DL,3,6,2
ID_SZBWUS5M,3,6,3
ID_MVIB05DL,3,12,3
ID_Q45AI1PS,3,12,2
ID_UKCRHPVW,3,6,1
ID_UKCRHPVW,3,6,1
ID_SUPGG9N2,3,6,2
ID_UKCRHPVW,3,12,2
ID_UKCRHPVW,3,12,6
ID_UKCRHPVW,3,12,2
ID_XOKY0J34,3,12,2
ID_XOKY0J34,3,12,6
ID_UKCRHPVW,3,4,7
ID_1OOXSUUG,2,12,1
ID_MBUM115A,2,12,1
ID_UKCRHPVW,2,11,6
ID_RUNWIVIX,2,11,6
ID_RUNWIVIX,2,11,6
ID_4S9JJCZA,2,11,6
ID_4S9JJCZA,2,11,6
ID_TW7QWCLX,2,11,6
ID_TW7QWCLX,2,11,6
ID_QORKL6MV,2,11,6
ID_BI6TUD2N,2,11,6
ID_UKCRHPVW,3,12,6
ID_UKCRHPVW,3,1,6
ID_UJFRNWHE,3,1,5
ID_HXMPT4UR,3,1,6
ID_UKCRHPVW,3,12,7
ID_GD2YO4JH,3,11,2
ID_GD2YO4JH,3,11,1
ID_GD2YO4JH,3,11,7
ID_KYK7OA4O,3,11,7
ID_KYK7OA4O,3,11,7
ID_ASEF16FT,3,11,7
ID_T3YDQRXX,3,11,7
ID_T3YDQRXX,3,11,1
ID_UKCRHPVW,3,12,7
ID_UKCRHPVW,3,12,7
ID_57CBC4OI,3,12,7
ID_XOKY0J34,3,12,7
ID_B0QKGVBZ,3,12,7
ID_7WSZDAEC,3,12,7
ID_UKCRHPVW,3,10,2
ID_WSKA6TLS,3,10,6
ID_WSKA6TLS,3,10,6
ID_UKCRHPVW,3,11,4
ID_UKCRHPVW,3,11,4
ID_N6C2FKG9,3,11,4
ID_GDRINJEM,3,12,6
ID_SILZHKUG,3,11,4
ID_MAMGFNLF,3,11,3
ID_33W8IOFT,3,11,3
ID_EUD6APQR,3,11,5
ID_UKCRHPVW,3,10,2
ID_UKCRHPVW,3,11,7
ID_UKCRHPVW,3,12,6
ID_K1N3CBLW,3,11,4
ID_UKCRHPVW,3,10,5
ID_F76SF3RJ,3,10,5
ID_MONR2GJQ,3,10,5
ID_4KXQH5ED,3,10,5
ID_UKCRHPVW,3,11,5
ID_UKCRHPVW,3,11,6
ID_680LL2B1,3,11,5
ID_UKCRHPVW,3,5,4
ID_UKCRHPVW,3,5,3
ID_UKCRHPVW,3,5,4
ID_PHTHJQ9Y,3,5,6
ID_7UO5J3NG,3,5,3
ID_7UO5J3NG,3,5,3
ID_AGHH7N2N,3,5,4
ID_AGHH7N2N,3,5,4
ID_AGHH7N2N,3,5,7
ID_AGHH7N2N,3,5,4
ID_AHLK9PLA,3,5,6
ID_UKCRHPVW,3,6,3
ID_UKCRHPVW,3,6,2
ID_KBRFRAR9,3,6,2
ID_VBOREEDA,3,6,3
ID_V6L06DCW,3,6,3
ID_V6L06DCW,3,6,3
ID_V6L06DCW,3,6,2
ID_UKCRHPVW,3,12,2
ID_1O8Z558K,3,12,2
ID_7WSZDAEC,3,12,2
ID_UKCRHPVW,3,12,1
ID_UKCRHPVW,3,12,1
ID_1O8Z558K,3,12,1
ID_UKCRHPVW,3,12,3
ID_UKCRHPVW,3,12,5
ID_NKZ3FZYC,3,12,5
ID_UKCRHPVW,3,4,2
ID_YIAGXEKM,3,4,2
ID_JX3KCAHO,3,4,2
ID_UKCRHPVW,3,12,3
ID_UKCRHPVW,3,12,3
ID_6G119NMD,3,11,2
ID_7U6Z8TNM,3,11,2
ID_UKCRHPVW,3,12,6
ID_UKCRHPVW,3,12,6
ID_1O8Z558K,3,12,6
ID_UKCRHPVW,3,12,5
ID_OYOSDBZC,3,12,6
ID_EYL21NNP,2,10,2
ID_EYL21NNP,2,10,3
ID_EYL21NNP,2,10,3
ID_LORVM90M,3,3,5
ID_HD4C3MI8,3,4,6
ID_B2N4QAER,2,10,5
ID_UF9E2KXD,2,10,3
ID_T7TL5TIW,2,10,3
