CompID,UserID,PublicRank,Successful Submission Count,CompPartCreated Year,CompPartCreated Month,CompPartCreated Day_of_week
ID_WMUF,ID_UWBBZ9OF,rank 11,count 10,3,1,4
ID_MPSN,ID_UWBBZ9OF,,,3,1,7
ID_WMUF,ID_1N5J2PGO,,count 10,3,1,5
ID_7MLO,ID_1N5J2PGO,,,2,10,5
ID_2KEY,ID_1N5J2PGO,,,2,5,4
ID_50DK,ID_1N5J2PGO,,,2,11,7
ID_MPSN,ID_1N5J2PGO,,,2,10,6
ID_AWEI,ID_1N5J2PGO,rank 6,count 10,2,4,1
ID_ON5E,ID_1N5J2PGO,,,3,9,4
ID_QQTZ,ID_1N5J2PGO,,,1,12,2
ID_F53H,ID_1N5J2PGO,,,3,1,7
ID_FBDX,ID_1N5J2PGO,,,2,12,6
ID_D42Y,ID_1N5J2PGO,,,2,6,2
ID_4DT4,ID_1N5J2PGO,,,3,5,3
ID_H4L8,ID_1N5J2PGO,rank 7,count 10,2,11,5
ID_UIC7,ID_1N5J2PGO,,,2,3,2
ID_3JA7,ID_1N5J2PGO,,,3,7,5
ID_1CBJ,ID_1N5J2PGO,rank 1,count 10,2,3,2
ID_LQ4P,ID_1N5J2PGO,,,3,11,4
ID_U1HE,ID_1N5J2PGO,rank 8,count 10,2,11,5
ID_R5HL,ID_1N5J2PGO,,,3,12,5
ID_HJ9S,ID_1N5J2PGO,rank 9,count 6,2,12,6
ID_VNN1,ID_1N5J2PGO,,count 6,2,5,4
ID_1INW,ID_1N5J2PGO,,,1,12,2
ID_AXVN,ID_1N5J2PGO,,,2,6,4
ID_8PEN,ID_1N5J2PGO,,count 10,2,11,4
ID_G7A4,ID_1N5J2PGO,rank 1,count 10,3,10,4
ID_UBMS,ID_1N5J2PGO,,,2,11,6
ID_XWMG,ID_1N5J2PGO,,,2,12,6
ID_ZSZR,ID_1N5J2PGO,,,3,2,3
ID_XYJZ,ID_1N5J2PGO,rank 11,count 6,3,7,5
ID_WMUF,ID_Y3FUR285,,,3,1,5
ID_MPSN,ID_Y3FUR285,,,2,12,7
ID_GCU7,ID_Y3FUR285,,,3,9,5
ID_1INW,ID_Y3FUR285,,,2,12,7
ID_WMUF,ID_NUJA05XB,,,3,1,4
ID_R5HL,ID_NUJA05XB,,,3,12,3
ID_WMUF,ID_XAJ17SYB,,,3,1,4
ID_JYR6,ID_XAJ17SYB,rank 2,count 10,2,9,7
ID_2KEY,ID_XAJ17SYB,,,2,6,4
ID_IV8G,ID_XAJ17SYB,,,1,12,3
ID_WGZ2,ID_XAJ17SYB,,,1,7,6
ID_81JW,ID_XAJ17SYB,,,2,8,3
ID_QQTZ,ID_XAJ17SYB,,,1,5,3
ID_8WX8,ID_XAJ17SYB,,,2,12,4
ID_UIC7,ID_XAJ17SYB,,,1,10,2
ID_U1HE,ID_XAJ17SYB,,,2,12,3
ID_1INW,ID_XAJ17SYB,,,1,10,3
ID_WMUF,ID_Q4OU2DW8,,,3,1,5
ID_MPSN,ID_Q4OU2DW8,,,3,1,6
ID_WMUF,ID_ZZVLMJJ8,rank 11,count 8,3,1,4
ID_SV8O,ID_ZZVLMJJ8,,,2,10,4
ID_AWEI,ID_ZZVLMJJ8,rank 7,count 6,2,4,2
ID_F53H,ID_ZZVLMJJ8,rank 3,count 6,3,1,6
ID_H4L8,ID_ZZVLMJJ8,,count 6,2,7,7
ID_UIC7,ID_ZZVLMJJ8,,,1,11,5
ID_TLNA,ID_ZZVLMJJ8,,,2,10,4
ID_1INW,ID_ZZVLMJJ8,,,1,10,2
ID_09D8,ID_ZZVLMJJ8,rank 11,count 6,3,5,3
ID_VS6D,ID_ZZVLMJJ8,rank 8,count 10,3,7,5
ID_IAYS,ID_ZZVLMJJ8,rank 10,count 6,2,11,4
ID_WMUF,ID_HX6C3NAS,,,3,1,4
ID_WMUF,ID_0AS0ONZN,rank 11,count 10,3,1,4
ID_GI2A,ID_0AS0ONZN,,,3,6,2
