CompID,Country,FeatureA,FeatureB,FeatureC,Kind,Points Reward,FeatureD,SecretCode,SubmissionLimitPerDay,FeatureE,CompEndTime Year,CompEndTime Month,CompEndTime Day_of_week,CompStartTime Year,CompStartTime Month,CompStartTime Day_of_week
ID_WGZ2,ID_HWRH,[1],[14],1.0,1,27,1,0,100.0,[1],1,8.0,7.0,1,6,5
ID_G370,,[1],[],2.0,1,52,2,0,10.0,[1],4,1.0,6.0,3,12,7
ID_R5HL,,[1],[],3.0,1,126,2,0,10.0,[1],4,1.0,6.0,3,10,4
ID_Y6XI,ID_ARVG,[1],[],4.0,1,52,2,0,10.0,[1],4,1.0,6.0,3,11,4
ID_8PEN,ID_I1L9,[1],[],5.0,0,2,2,0,200.0,[1],2,11.0,6.0,2,11,4
ID_F23U,ID_FC41,[1],[],3.0,0,52,3,1,15.0,[1],4,2.0,3.0,4,2,3
ID_GOXL,ID_I1L9,"[2, 3]",[],6.0,1,2,3,0,30.0,[2],not mapped,,,3,1,4
ID_88GO,ID_GU74,[1],[],5.0,1,2,3,0,30.0,[1],not mapped,,,3,1,4
ID_HTKR,ID_CKI7,"[3, 2]",[],6.0,1,2,3,0,30.0,[2],not mapped,,,3,2,3
ID_ABBZ,ID_I1L9,[4],[14],1.0,1,102,1,0,30.0,"[2, 3]",3,6.0,6.0,3,3,4
ID_ASHZ,ID_K86O,[4],[14],1.0,0,2,2,1,10.0,"[3, 2]",4,1.0,1.0,3,11,4
ID_LXXE,ID_I1L9,[1],[12],4.0,0,2,3,1,10.0,[1],4,2.0,7.0,3,12,4
ID_I52W,ID_GU74,"[3, 2]",[14],7.0,0,2,3,1,20.0,[2],3,5.0,6.0,3,2,3
ID_TKJJ,ID_K86O,[1],[],8.0,0,2,2,1,20.0,[2],3,9.0,6.0,3,9,4
ID_57TX,ID_CXB1,[1],[],9.0,0,2,2,1,20.0,[1],3,10.0,6.0,3,10,5
ID_ZBPQ,ID_I1L9,[],[14],1.0,1,151,1,0,20.0,[4],3,12.0,7.0,3,1,7
ID_SNXY,,[5],[15],10.0,1,500,2,0,10.0,[1],4,2.0,6.0,3,10,4
ID_GTIV,ID_I1L9,"[1, 6]",[],,1,102,1,0,10.0,[1],4,3.0,6.0,3,11,4
ID_P8IG,ID_CXB1,[1],[],8.0,1,2,3,0,30.0,[2],not mapped,,,2,4,4
ID_GQCR,ID_I1L9,[1],[9],2.0,0,2,2,1,100.0,[1],3,10.0,6.0,3,10,5
ID_BQO2,ID_5OWN,[1],[],2.0,0,2,3,1,30.0,[1],4,1.0,4.0,3,12,6
ID_4FPW,ID_XX6B,[1],[9],2.0,0,2,2,1,3.0,"[1, 5]",4,4.0,4.0,4,3,5
ID_664W,,"[2, 3]",[],,1,102,2,0,10.0,[6],3,12.0,6.0,3,7,4
ID_GCU7,ID_5OWN,[1],[],11.0,1,2,3,0,30.0,[1],not mapped,,,2,6,1
ID_5B6Q,ID_GU74,[5],[15],,0,2,2,0,200.0,[7],4,2.0,6.0,4,2,4
ID_JIF0,ID_GU74,"[1, 6]",[],12.0,0,2,3,1,20.0,[1],3,10.0,1.0,3,4,7
ID_LMFN,ID_5OWN,[1],[],6.0,1,2,3,0,30.0,[1],not mapped,,,1,5,3
ID_G31W,,"[2, 7]",[],9.0,1,102,1,0,30.0,[2],2,11.0,7.0,2,8,3
ID_HJ9S,ID_CXB1,[1],[],13.0,1,2,3,0,30.0,[1],not mapped,,,2,4,4
ID_RSV3,ID_CXB1,"[4, 2]",[],14.0,1,2,3,0,30.0,[3],not mapped,,,2,4,4
ID_R4NQ,ID_I1L9,[1],[12],4.0,0,2,2,0,100.0,[1],3,11.0,5.0,3,11,5
ID_SW6X,ID_RAZW,"[3, 7]",[],13.0,1,102,2,0,10.0,[8],3,12.0,6.0,3,9,4
ID_5HIG,ID_ZXLV,[],[],,0,2,2,0,50.0,[],4,2.0,4.0,4,1,2
ID_1FDX,ID_CKI7,[1],[],2.0,0,2,2,1,50.0,[1],4,1.0,2.0,4,1,7
ID_JQS3,ID_U4GT,[1],[],2.0,0,2,3,1,20.0,"[1, 5]",3,12.0,6.0,3,12,5
ID_92AG,,[2],[],6.0,1,77,2,0,5.0,[9],4,2.0,4.0,3,12,3
ID_3HST,ID_5OWN,"[2, 3]",[],,1,102,2,0,10.0,[6],3,12.0,6.0,3,7,4
ID_BT9Z,ID_HWRH,[1],[],13.0,1,599,2,0,30.0,[1],1,8.0,7.0,1,4,3
