FeatureF,DiscDate Year,DiscDate Month,DiscDate Day_of_week,DiscID,UserID
1,3,10,1,ID_Z77ETQ,ID_F2757IAI
0,3,12,3,ID_E47JKY,ID_F2757IAI
1,3,1,3,ID_CB4Y0N,ID_F2757IAI
0,3,9,7,ID_BNIHCF,ID_F2757IAI
1,3,5,7,ID_MLPYCO,ID_F2757IAI
0,3,4,7,ID_BQATMW,ID_F2757IAI
0,2,9,2,ID_93ZWJL,ID_F2757IAI
0,2,6,7,ID_GB9WYU,ID_F2757IAI
0,2,6,1,ID_CMRLNA,ID_F2757IAI
0,2,9,7,ID_EMMAJA,ID_F2757IAI
0,2,10,6,ID_NYHBG2,ID_F2757IAI
0,2,10,2,ID_O8SPC4,ID_F2757IAI
0,2,11,2,ID_TEH2JI,ID_F2757IAI
0,2,11,4,ID_GNAUCT,ID_F2757IAI
0,2,12,1,ID_H427FF,ID_F2757IAI
0,3,2,1,ID_238WRA,ID_F2757IAI
0,2,11,2,ID_2KRN0T,ID_F2757IAI
0,2,6,3,ID_O5NU1I,ID_F2757IAI
0,3,1,4,ID_115VEO,ID_F2757IAI
0,2,10,2,ID_Q5XCAT,ID_F2757IAI
0,3,2,7,ID_OK7TSE,ID_F2757IAI
1,3,3,3,ID_G0HUMF,ID_JQJGZA7V
1,3,7,1,ID_UA4BLP,ID_JQJGZA7V
1,3,9,3,ID_Z1WZSE,ID_JQJGZA7V
0,1,12,7,ID_4TYA8D,ID_JQJGZA7V
0,2,1,1,ID_0BHSY8,ID_JQJGZA7V
0,2,6,7,ID_037OJQ,ID_JQJGZA7V
1,3,7,1,ID_NU9EPV,ID_JQJGZA7V
0,1,11,1,ID_940PGV,ID_JQJGZA7V
0,2,4,6,ID_ORNIEL,ID_JQJGZA7V
0,2,6,4,ID_J3D98X,ID_JQJGZA7V
0,2,11,4,ID_JA50R8,ID_JQJGZA7V
1,3,9,7,ID_3DLBCP,ID_JQJGZA7V
0,1,8,7,ID_WK57Q8,ID_JQJGZA7V
0,1,12,7,ID_6EX6MV,ID_JQJGZA7V
0,3,11,5,ID_VOCLE0,ID_OO9NRDUE
0,3,4,1,ID_FV4XPV,ID_OO9NRDUE
0,2,10,4,ID_VMSHV1,ID_OO9NRDUE
0,2,10,6,ID_DWEUN9,ID_OO9NRDUE
1,3,9,5,ID_MA3DXF,ID_OZTCVTQP
1,3,5,6,ID_RFNWY9,ID_OZTCVTQP
0,3,9,5,ID_6S7BEC,ID_OZTCVTQP
0,3,9,5,ID_I6PDVW,ID_OZTCVTQP
1,3,5,6,ID_46AB50,ID_OZTCVTQP
1,3,5,6,ID_NYU4EB,ID_OZTCVTQP
1,3,5,6,ID_WKM3D9,ID_OZTCVTQP
1,3,5,6,ID_X5F9WH,ID_OZTCVTQP
0,1,11,1,ID_WJ15R2,ID_OZTCVTQP
1,3,5,6,ID_W11VBG,ID_OZTCVTQP
1,3,5,6,ID_ISRJT6,ID_OZTCVTQP
1,3,5,6,ID_JVTMD8,ID_OZTCVTQP
1,3,5,6,ID_QGXTR6,ID_OZTCVTQP
1,3,5,6,ID_HMZU9N,ID_OZTCVTQP
1,3,5,6,ID_B2H1YA,ID_OZTCVTQP
1,3,5,6,ID_N6D0XR,ID_OZTCVTQP
1,3,5,6,ID_TE6PUO,ID_OZTCVTQP
0,2,11,3,ID_LCG1G7,ID_OZTCVTQP
0,3,10,5,ID_6YZLFD,ID_OZTCVTQP
1,3,5,6,ID_CXF6ID,ID_OZTCVTQP
0,3,10,5,ID_IBDMH8,ID_OZTCVTQP
0,3,10,5,ID_6FDHDS,ID_OZTCVTQP
1,3,5,6,ID_AQ3JFO,ID_OZTCVTQP
1,3,5,6,ID_YYGPER,ID_OZTCVTQP
1,3,5,6,ID_UTT6B5,ID_OZTCVTQP
1,3,5,6,ID_MJGO5E,ID_OZTCVTQP
1,3,5,6,ID_69ML6R,ID_OZTCVTQP
0,1,11,7,ID_47CPX9,ID_OZTCVTQP
1,3,5,6,ID_6I4VM8,ID_OZTCVTQP
1,3,5,6,ID_AEVPEI,ID_OZTCVTQP
0,2,1,2,ID_P2WNHL,ID_OZTCVTQP
0,2,11,3,ID_M3380R,ID_OZTCVTQP
1,3,2,7,ID_5AMMA3,ID_OZTCVTQP
