UserID,FeatureX,Country,FeatureY,Points,UserDate Year,UserDate Month,UserDate Day_of_week
ID_N5LTBAPU,0,ID_DMRM,1,group 3,2,4,4
ID_CLSFQB0S,0,ID_Q02,3,group 3,1,5,4
ID_RE6T58Y4,0,ID_Q02,0,group 3,2,12,3
ID_XJQQRJV3,0,ID_Z8BI,0,group 3,2,9,2
ID_1JHU6A8S,0,ID_Q02,3,group 3,2,10,1
ID_SQPQBJHC,0,ID_5OWN,0,group 3,2,11,7
ID_5UZSXIZP,0,ID_Q02,3,group 3,2,4,7
ID_6XNP41YT,0,ID_Q02,0,group 3,2,9,2
ID_JEX6AMG2,0,ID_Q02,3,group 3,1,10,2
ID_HKN1TXNR,0,ID_Q02,3,group 3,2,5,2
ID_U5KNY08P,0,ID_PLTE,0,group 3,2,11,1
ID_N5E1QTG8,0,ID_Q02,0,group 3,3,1,7
ID_18S7RZ73,0,ID_NVM2,0,group 3,2,12,7
ID_PYLAY0V0,0,ID_Q02,3,group 3,2,5,1
ID_CKG6LP37,0,ID_Q02,3,group 3,1,12,7
ID_147ZW4S6,0,ID_Q02,3,group 3,1,4,7
ID_0EMFQ1QP,0,ID_5OWN,1,group 3,3,5,3
ID_8GZKWE2P,0,ID_Q02,3,group 3,2,2,2
ID_CI6YWQ1W,0,ID_Q02,3,group 3,2,6,5
ID_W6FCAR6R,0,ID_GU74,0,group 3,2,12,3
ID_FKBSFO29,0,ID_0NU5,0,group 3,3,2,4
ID_5E7P4NWK,0,ID_5OWN,0,group 3,2,11,1
ID_3Q93GPY9,0,ID_Q02,3,group 3,2,11,6
ID_THK4OX5H,0,ID_60OO,0,group 3,2,12,7
ID_ULCSDX7Y,0,ID_Q02,3,group 3,2,3,4
ID_ZEGF2IB2,0,ID_Q02,3,group 3,2,12,2
ID_PKM0GPQG,0,ID_Q02,3,group 3,1,11,1
ID_WCF7WGLA,0,ID_Q02,3,group 3,2,3,1
ID_NKI0ISCB,0,ID_G4IW,0,group 3,2,1,3
ID_GAV5TV5V,0,ID_Q02,3,group 3,2,3,4
ID_J1RSRMCP,0,ID_ZXLV,0,group 3,2,11,4
ID_4ACLZ3NC,0,ID_Q02,3,group 3,2,6,6
ID_HYFO7JKH,0,ID_Q02,3,group 3,2,2,1
ID_X4ZRDOAO,0,ID_Q02,3,group 3,2,1,1
ID_0WGN9FN7,0,ID_HIXK,0,group 3,2,4,2
ID_CS6MLSF1,0,ID_Q02,3,group 3,2,6,4
ID_70Q40ISS,0,ID_Q02,3,group 3,1,5,2
ID_23WLFK6Z,0,ID_Q02,3,group 3,1,5,5
ID_4MDR7X7T,0,ID_Q02,3,group 3,2,9,7
ID_A4UTAOKC,1,ID_5OWN,0,group 3,3,4,2
ID_3FC5RH2E,0,ID_Q02,0,group 3,3,1,1
ID_KCOCWHLD,0,ID_5OWN,0,group 3,3,4,2
ID_XBO7TROG,0,ID_Q02,0,group 3,3,8,6
ID_70KZD2PH,0,ID_GU74,1,group 3,2,1,3
ID_S22VYTXY,0,ID_NVM2,0,group 3,3,4,4
ID_GKJRM77F,0,ID_NVM2,1,group 3,3,5,3
ID_CCHCRUHS,0,ID_GU74,0,group 3,3,3,4
ID_JNMJILUN,0,ID_HIXK,0,group 3,3,7,4
ID_PUVU2W7V,0,ID_CXB1,1,group 3,3,4,7
ID_YDC8LGC2,0,ID_NVM2,0,group 3,3,2,2
ID_IHFSA270,0,ID_5OWN,0,group 3,3,2,3
ID_C2AWQ1OL,0,ID_Y8RA,1,group 3,3,7,1
ID_RSOZ7ADS,1,ID_FC41,1,group 3,3,6,5
ID_TCG65OT1,0,ID_HIXK,0,group 3,3,8,6
ID_TALEAE0U,0,ID_FC41,0,group 3,2,10,2
ID_UK5FVNXA,0,ID_NVM2,0,group 3,3,2,2
ID_BAKJ26G8,0,ID_GU74,0,group 3,2,12,2
ID_KO67GHUQ,0,ID_NVM2,0,group 3,2,12,3
ID_UXQWGGUU,0,ID_2XYB,3,group 3,1,4,5
ID_FEURLODG,0,ID_ACV0,0,group 3,2,9,2
ID_QE75FI2Y,0,ID_Q02,3,group 3,2,4,4
ID_RAK45RT2,0,ID_Q02,3,group 3,2,3,6
ID_YWOJ5QRJ,0,ID_ARVG,0,group 3,2,10,6
ID_VS6S0K1D,0,ID_ARVG,0,group 3,2,10,7
ID_KUZ5A7IO,0,ID_PLTE,0,group 3,3,5,2
ID_YWX1FKTQ,0,ID_Q02,3,group 3,2,4,1
ID_76XPSSLB,0,ID_OZ6F,1,group 3,3,2,7
ID_6L48359G,0,ID_EKIH,0,group 3,3,8,3
ID_B15OVN9G,0,ID_0NU5,0,group 3,3,2,2
